requirement,route,algorithm,time_to_reach_goal,path_length,cumulative_heading_changes,avg_distance_to_closest_person,minimum_distance_to_people,minimum_distance_to_target,final_distance_to_target,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_robot_acceleration,avg_robot_jerk,avg_pedestrian_velocity,avg_closest_pedestrian_velocity
jerk,route_1,best_scenario,0.28837450925297425,0.021908271701138765,0.06509203632381634,0.6915558652644138,0.0,0.01729783810315791,0.01729869818060595,0.5832922809856748,0.4497764451088037,0.2535079889017977,0.005956455302009027,0.006620303787360681,0.18129069706072537,1.0570057391066174,0.125576755360875,0.19758394096205598
jerk,route_1,worst_scenario,0.2356429193137393,0.020607455694228824,0.0698934889321891,0.5942335528351067,0.0,0.024251046084917897,0.024265884233563444,0.3790490217894517,0.8087168778415268,0.3050717189020215,0.004980756635068758,0.008674442509914188,0.11570924995713669,1.4367634720030193,0.10233296550504412,0.19089051217886124
jerk,route_2,best_scenario,1.6314794365359917,1.1568524651412386,1.2151051085521332,0.6911086082363704,0.0,1.1008344917979898,1.1168602459356554,2.4090347186917147,3.5680575223444224,2.53645211043585,0.05794550730796618,0.05200652084884393,0.17576227904540367,0.7707287672823968,0.11250690014321346,0.20731103264059023
jerk,route_2,worst_scenario,0.5559727112152535,0.18275107660090611,0.4767595929223195,0.9906714451289824,0.0,0.027331598723375334,0.0,0.43018306715207627,0.9732042112432565,0.2808303054289773,0.010124241217543557,0.021732753030705685,0.11879892856917146,0.4808875451444175,0.1728767721691323,0.2419845204565058
jerk,route_3,best_scenario,1.197383304540182,0.29181500588834836,0.6298969253783816,0.4308677563976669,0.0,0.03819611680942868,0.13835479110820195,0.6214554662658655,1.3544307876819286,0.25916253524633687,0.014444637678103707,0.02909028854423527,0.16382763429159206,1.5941585603365553,0.12385146812973287,0.18195290593736327
jerk,route_3,worst_scenario,0.5803424393307495,0.05088883908165118,0.30439567439945536,0.2494510636774412,0.1289330864955637,0.03933050726617959,0.1245891359648074,0.6608945522512667,0.44977644510880366,0.25205585316588125,0.010624960676046265,0.019073485167089312,0.08537473205060184,0.2552472407545602,0.12098751496057923,0.09644791948876517
jerk,route_4,best_scenario,1.2032281821731203,0.09758413172383466,0.7543147316932348,0.37390610340595526,0.0,0.04246322426270242,0.04246322426270242,1.6501480254047292,2.648790658776753,0.28528350501014926,0.01939122716880401,0.027399182455207054,0.22261084980291532,4.306398584300967,0.08408991713646242,0.08271964624576002
jerk,route_4,worst_scenario,0.28366789158082145,0.03225463122257568,0.05383019821210331,0.176730781429395,0.0,0.03511482501266335,0.03511482501266335,0.4901325178535609,0.9802650357071218,0.2542324112993618,0.005823992511227823,0.004861049527552779,0.11775724302388593,0.3815065260759805,0.07898420378851757,0.0417079046647102
jerk,route_5,best_scenario,0.3954164242823046,0.046963102116190224,0.4596495052939682,0.2933375821605781,0.0,0.021256431605483017,0.021256431605483017,0.48423419811150237,0.7111590022187595,0.22543047192463833,0.004967342278409654,0.016528558657883174,0.14066016554992475,3.7529440951346023,0.09055684877830637,0.12413617274467909
jerk,route_5,worst_scenario,0.2509365323849559,0.038555148050469834,0.2542756715692527,0.4566001420186843,0.35589467618314025,0.019483193229738734,0.019483193229738734,0.0,0.0,0.2255016097147267,0.003428720357842817,0.009359117534853276,0.10629753136258345,1.955084400536541,0.0968911485895552,0.1657575832237273
distance,route_1,best_scenario,1.5543052837178253,0.12073314809996195,1.4903849479121913,0.23495871963465045,0.0,0.04454487004883846,0.08842767016228827,8.151510684332175,4.074591863067356,0.25241914460495657,0.023163294148785856,0.05830104782233892,0.2141603180786114,0.6891271567695132,0.10787021208039824,0.08187241264985663
distance,route_1,worst_scenario,1.0899893545535373,0.08106723525834017,0.9209571110765983,0.6364514787492065,0.032077071526610816,0.08308317509280286,0.13456029966193528,1.1788363637137231,2.2078751422302303,0.2518962395342614,0.019528165671407572,0.044446702507990106,0.2199596211538233,0.9759170289398196,0.10104641857370927,0.13857870046681836
distance,route_2,best_scenario,0.6505411633216177,0.23343152626090224,0.6151967403564844,0.7533072791499007,0.0,0.02001861246174166,0.0,0.5632418479750461,1.8332810859848756,0.2774817636509903,0.012641157933380045,0.0279883386591733,0.17241796893365685,1.4941313147721977,0.15861113750404068,0.27003286937475407
distance,route_2,worst_scenario,1.0546938951736264,0.1882219666441176,1.241514778896034,0.5955775953407907,0.0,0.32428598839887895,0.3317994016810854,0.9994251221140299,3.1813031378937175,0.4130413441582821,0.0188512408912052,0.05028223060333257,0.1618632849645006,1.4849408958797428,0.15367947773912322,0.23805985028893223
distance,route_3,best_scenario,1.0750155177826686,0.29381778634572586,0.6928346290375428,0.5399362151254772,0.0,0.05986504663674397,0.11952388359884072,4.040598567243372,2.566136682108801,0.33247261737342665,0.016495596745498307,0.03271261395046691,0.21695254159284913,0.8285455855171122,0.11595535501204948,0.14519215621389547
distance,route_3,worst_scenario,0.740288624686183,0.11916182046740567,0.46498166577490585,0.14745347113992566,0.0,0.05494589416262557,0.10620947565478564,2.595531084228313,2.9534705865721986,0.2834734450810809,0.012313185967895393,0.023741233679720933,0.17468266030128998,0.6503814403589188,0.08423156913718495,0.08188577784464364
distance,route_4,best_scenario,1.049891813003892,0.08262430922333457,1.2811038308741334,0.6011425116952291,0.0,0.44927489316192526,0.44927489316176694,2.6487906587767536,2.9635719361422046,0.26687635698969564,0.013257004839859548,0.04691657515942474,0.17221307846827677,5.3208140198416825,0.12990544858372954,0.14714139052656122
distance,route_4,worst_scenario,0.5153230891853986,0.04721632083454705,0.3852766830773868,0.16736237035707188,0.1836354735320871,0.031167839866133033,0.0662376473909405,0.0,0.0,0.22577012963545529,0.007892815302732161,0.0194251550932225,0.16837778536094528,0.5226275695578926,0.07506797809212577,0.09687510813814929
distance,route_5,best_scenario,0.7392965579783572,0.07075439618169521,0.5244858095750935,1.7491043789346041,0.0,0.025442437387234305,0.025442437387234305,12.488569486378012,2.3576727274274463,0.25528723295428346,0.00942019420061388,0.01652436818008525,0.1311596842852133,0.8392330257028867,0.23921181422330215,0.2248261503540874
distance,route_5,worst_scenario,0.8867938126663918,0.051039528388520626,0.4538194769822191,1.7311498598945183,0.0,0.0313724844555788,0.03137248445618508,8.895562628791875,1.5698305055298023,0.3136966137665108,0.011148931026303387,0.015619762608628228,0.10690818982881298,3.5902315047973636,0.17144221367315146,0.2088778346452603
reach,route_1,best_scenario,0.9188980055032755,0.04279177171755569,0.4797553953813908,0.35388003146445135,0.42070424337435025,0.04298385270902505,0.08893240066297521,0.4794633014853841,1.0400044208570938,0.24498747094558093,0.016031408267196765,0.02417956565452727,0.15036461576917184,0.6338302747508561,0.1191224028497589,0.13597945257436272
reach,route_1,worst_scenario,0.30763690192502546,0.021173017010489563,0.04918072872633749,0.09106370353651784,0.35715068529248784,0.021382140566828915,0.021366956552918228,0.18257418583505533,0.0,0.2523597803854591,0.00627494457177428,0.005185221842061424,0.21004823816024715,0.8745101471430046,0.08884134650761817,0.08933785579842787
reach,route_2,best_scenario,1.0767919966091908,0.1345563718734575,0.7673975981236175,0.38311491034010525,0.0,0.05712929193460916,0.0,0.6608945522512667,1.7733661737517428,0.28557002930484204,0.01849964285031331,0.034369482712310405,0.1343610990349889,0.43727317895912354,0.1356529072718039,0.09475481717808147
reach,route_2,worst_scenario,0.8427064492385269,0.08091414103926468,0.4646581047844991,0.3907458923705454,0.002861622420451264,0.053440340882046515,0.05295021190280776,1.7645943169602116,0.8899179866642238,0.30182051322486625,0.018104189214715447,0.023918403531955672,0.2190366807372613,1.686792139308315,0.07750751228299053,0.10387811001938345
reach,route_3,best_scenario,0.8806396172897981,0.24565120869738535,0.5329536092009611,0.20432926145031702,0.0,0.02670178092510901,0.12697333770356825,3.871647604368687,3.136914070397446,0.2978689672702373,0.012813227050659721,0.02191726729575881,0.16512160773548315,0.5752636233035676,0.13905558581408484,0.1559283937388955
reach,route_3,worst_scenario,0.33586267173926193,0.03864282451244656,0.07011293598458372,0.44814338033482143,0.4056226734133485,0.02155696608985351,0.07403712442799328,0.18257418583505533,0.0,0.2456486343349928,0.00593843314574867,0.004513267992372548,0.1143781064023716,0.46531814236184943,0.09865531476838849,0.09051587358643787
reach,route_4,best_scenario,1.1340703313363856,0.08770784616971226,1.0828170465755453,0.39382122841011774,0.0,0.033712945358680045,0.033712945358680045,0.8172001541568767,2.6120850877693718,0.24978301655910523,0.01631437331832128,0.038901346562633166,0.14235734036603015,0.8858778496192935,0.10957521600068294,0.10951019029163989
reach,route_4,worst_scenario,0.39691692888929037,0.05677023302093159,0.3440841383104869,0.5830949491214802,0.0,0.040759204634235456,0.040759204634235456,0.8610338613230188,1.5992095748737298,0.21662143802782904,0.007636894155055888,0.016013106190005295,0.1313251789082194,0.5686064582928833,0.16036110996953723,0.14226286327192622
reach,route_5,best_scenario,1.1943469475233435,0.2455766457315593,0.8206828494238368,0.23735534984910667,0.019121180577264453,0.04799299066237565,0.04799299066237565,3.058058883986872,4.124638611825395,0.25056219645177336,0.012007635999772472,0.023931956197055546,0.114926355898891,0.3879073103136319,0.13249220730561892,0.12288828186270416
reach,route_5,worst_scenario,1.0853972935346914,0.06790076368681258,0.5423546118068603,0.3638788526823146,0.0,0.0338867430688249,0.0338867430688249,5.064639642920676,2.151983848163973,0.24544405387104995,0.011845916089450103,0.019017201944477397,0.0655859029271946,0.4494638524588781,0.11745915015200102,0.15529893741001022
